condition,model,day,threshold,net_benefit,treat_all,treat_none,ci_lower,ci_upper,n,bootstrap_resamples,treat_all_ci_lower,treat_all_ci_upper
Inductive,Deep,1095,0.3,-0.063054400826824,-0.063054400826824,0.0,-0.15061760402569552,0.03126465023870807,211,2000,-0.15061760402569552,0.03126465023870807
Inductive,Deep,1095,0.35,-0.1448165675393353,-0.1448165675393353,0.0,-0.2391192182030648,-0.043246183641536026,211,2000,-0.2391192182030648,-0.043246183641536026
Inductive,Deep,1095,0.4,-0.2402057620372653,-0.2402057620372653,0.0,-0.34237110140999577,-0.13017548983515423,211,2000,-0.34237110140999577,-0.13017548983515423
Inductive,Deep,1095,0.45,-0.35293844644390965,-0.35293844644390965,0.0,-0.46439605429091396,-0.232910124427612,211,2000,-0.46439605429091396,-0.232910124427612
Inductive,Deep,1095,0.5,-0.488217667731883,-0.488217667731883,0.0,-0.610825997748016,-0.35619168593856143,211,2000,-0.610825997748016,-0.35619168593856143
Inductive,Deep,1095,0.55,-0.6535589381949617,-0.6535589381949617,0.0,-0.7897959286400298,-0.5068691500074998,211,2000,-0.7897959286400298,-0.5068691500074998
Inductive,Deep,1095,0.6,-0.8553338278628195,-0.8602355262738096,0.0,-1.0091512627845487,-0.6923550259857283,211,2000,-1.0135083422550464,-0.6952159800936721
Inductive,Deep,1095,0.65,-0.8036841205982059,-1.1259625680894718,0.0,-0.9831722921284849,-0.6109962939342061,211,2000,-1.3011385883314972,-0.9373761902044659
Inductive,Deep,1095,0.7,-0.4166200312964081,-1.480265290510354,0.0,-0.5771455205349564,-0.25980150056924883,211,2000,-1.6846455831000966,-1.2602564703521903
Inductive,Deep,1095,0.75,-0.23573201477437478,-1.9762891018995898,0.0,-0.3856786681183128,-0.09737566387766769,211,2000,-2.2215553757761377,-1.7122888625590047
Inductive,Deep,1095,0.8,0.0,-2.7203248189834435,0.0,0.0,0.0,211,2000,-3.0269200647901995,-2.390337450869227
Inductive,Deep,1095,0.85,0.0,-3.9603843474565315,0.0,0.0,0.0,211,2000,-4.3691945464802995,-3.520418431386262
Inductive,Deep,1095,0.9,0.0,-6.440503404402711,0.0,0.0,0.0,211,2000,-7.053743509860505,-5.780580392420335
Inductive,Joint,365,0.05,0.05716768326241517,0.05716768326241517,0.0,0.014583027561087,0.10422836127170078,211,2000,,
Inductive,Joint,365,0.1,0.004788110110327175,0.004788110110327175,0.0,-0.04016235979663043,0.05446327023123962,211,2000,,
Inductive,Joint,365,0.15,-0.05395106016460988,-0.053753765765535866,0.0,-0.1016549371637918,-0.0021398388166365043,211,2000,,
Inductive,Joint,365,0.2,-0.10619504038165446,-0.11961337612588177,0.0,-0.15508732761958025,-0.05611493604578528,211,2000,,
Inductive,Joint,365,0.25,-0.15168353186504951,-0.19425426786760713,0.0,-0.19413475730298277,-0.10610466950289814,211,2000,,
Inductive,Joint,365,0.3,-0.08540099220090733,-0.27955814414386476,0.0,-0.12006930683071713,-0.04933959333797516,211,2000,,
